index,n_nerghbors,weight,p,leaf_size,cross_acc,test_acc
49,3,uniform,1,34,0.4959599416236382,0.5571428571428572
50,3,uniform,2,34,0.49599859170602684,0.5545454545454546
51,3,distance,1,34,0.5259401366833109,0.5727272727272728
52,3,distance,2,34,0.5255367741342989,0.5662337662337662
53,3,uniform,1,36,0.4959599416236382,0.5571428571428572
54,3,uniform,2,36,0.49599859170602684,0.5545454545454546
55,3,distance,1,36,0.5259401366833109,0.5727272727272728
56,3,distance,2,36,0.5255367741342989,0.5662337662337662
57,3,uniform,1,38,0.4959599416236382,0.5571428571428572
58,3,uniform,2,38,0.49599859170602684,0.5545454545454546
59,3,distance,1,38,0.5259401366833109,0.5727272727272728
60,3,distance,2,38,0.5255367741342989,0.5662337662337662
61,3,uniform,1,40,0.4959599416236382,0.5571428571428572
62,3,uniform,2,40,0.49599859170602684,0.5545454545454546
63,3,distance,1,40,0.5259401366833109,0.5727272727272728
64,3,distance,2,40,0.5255367741342989,0.5662337662337662
65,3,uniform,1,42,0.4959599416236382,0.5571428571428572
66,3,uniform,2,42,0.49599859170602684,0.5545454545454546
67,3,distance,1,42,0.5259401366833109,0.5727272727272728
68,3,distance,2,42,0.5255367741342989,0.5662337662337662
69,3,uniform,1,44,0.4959599416236382,0.5571428571428572
70,3,uniform,2,44,0.49599859170602684,0.5545454545454546
71,3,distance,1,44,0.5259401366833109,0.5727272727272728
72,3,distance,2,44,0.5255367741342989,0.5662337662337662
73,3,uniform,1,46,0.4959599416236382,0.5571428571428572
74,3,uniform,2,46,0.49599859170602684,0.5545454545454546
75,3,distance,1,46,0.5259401366833109,0.5727272727272728
76,3,distance,2,46,0.5255367741342989,0.5662337662337662
77,3,uniform,1,48,0.4959599416236382,0.5571428571428572
78,3,uniform,2,48,0.49599859170602684,0.5545454545454546
79,3,distance,1,48,0.5259401366833109,0.5727272727272728
80,3,distance,2,48,0.5255367741342989,0.5662337662337662
81,5,uniform,1,10,0.49963031175553063,0.5506493506493506
82,5,uniform,2,10,0.4983314446205738,0.5467532467532468
83,5,distance,1,10,0.5436636638813782,0.5844155844155844
84,5,distance,2,10,0.5415052876886314,0.5766233766233766
85,5,uniform,1,12,0.49963031175553063,0.5506493506493506
86,5,uniform,2,12,0.4983314446205738,0.5467532467532468
87,5,distance,1,12,0.5436636638813782,0.5844155844155844
88,5,distance,2,12,0.5415052876886314,0.5766233766233766
89,5,uniform,1,14,0.49963031175553063,0.5506493506493506
90,5,uniform,2,14,0.4983314446205738,0.5467532467532468
91,5,distance,1,14,0.5436636638813782,0.5844155844155844
92,5,distance,2,14,0.5415052876886314,0.5766233766233766
93,5,uniform,1,16,0.48540772434974777,0.5623376623376624
94,5,uniform,2,16,0.4836879446482289,0.5558441558441558
95,5,distance,1,16,0.5320507433344988,0.6
96,5,distance,2,16,0.5294492145512736,0.5896103896103896
97,5,uniform,1,18,0.48540772434974777,0.5623376623376624
98,5,uniform,2,18,0.4836879446482289,0.5558441558441558
99,5,distance,1,18,0.5320507433344988,0.6
100,5,distance,2,18,0.5294492145512736,0.5896103896103896
101,5,uniform,1,20,0.48540772434974777,0.5623376623376624
102,5,uniform,2,20,0.4836879446482289,0.5558441558441558
103,5,distance,1,20,0.5320507433344988,0.6
104,5,distance,2,20,0.5294492145512736,0.5896103896103896
105,5,uniform,1,22,0.48540772434974777,0.5623376623376624
106,5,uniform,2,22,0.4836879446482289,0.5558441558441558
107,5,distance,1,22,0.5320507433344988,0.6
108,5,distance,2,22,0.5294492145512736,0.5896103896103896
109,5,uniform,1,24,0.48540772434974777,0.5623376623376624
110,5,uniform,2,24,0.4836879446482289,0.5558441558441558
111,5,distance,1,24,0.5320507433344988,0.6
112,5,distance,2,24,0.5294492145512736,0.5896103896103896
113,5,uniform,1,26,0.48540772434974777,0.5623376623376624
114,5,uniform,2,26,0.4836879446482289,0.5558441558441558
115,5,distance,1,26,0.5320507433344988,0.6
116,5,distance,2,26,0.5294492145512736,0.5896103896103896
117,5,uniform,1,28,0.48540772434974777,0.5623376623376624
118,5,uniform,2,28,0.4836879446482289,0.5558441558441558
119,5,distance,1,28,0.5320507433344988,0.6
120,5,distance,2,28,0.5294492145512736,0.5896103896103896
121,5,uniform,1,30,0.4772286426925591,0.525974025974026
122,5,uniform,2,30,0.4758993974580078,0.5207792207792208
123,5,distance,1,30,0.5255773075014514,0.5714285714285714
124,5,distance,2,30,0.5229897467593482,0.5571428571428572
125,5,uniform,1,32,0.4772286426925591,0.525974025974026
126,5,uniform,2,32,0.4758993974580078,0.5207792207792208
127,5,distance,1,32,0.5255773075014514,0.5714285714285714
128,5,distance,2,32,0.5229897467593482,0.5571428571428572
129,5,uniform,1,34,0.4772286426925591,0.525974025974026
130,5,uniform,2,34,0.4758993974580078,0.5207792207792208
131,5,distance,1,34,0.5255773075014514,0.5714285714285714
132,5,distance,2,34,0.5229897467593482,0.5571428571428572
133,5,uniform,1,36,0.4772286426925591,0.525974025974026
134,5,uniform,2,36,0.4758993974580078,0.5207792207792208
135,5,distance,1,36,0.5255773075014514,0.5714285714285714
136,5,distance,2,36,0.5229897467593482,0.5571428571428572
137,5,uniform,1,38,0.4772286426925591,0.525974025974026
138,5,uniform,2,38,0.4758993974580078,0.5207792207792208
139,5,distance,1,38,0.5255773075014514,0.5714285714285714
140,5,distance,2,38,0.5229897467593482,0.5571428571428572
141,5,uniform,1,40,0.4772286426925591,0.525974025974026
142,5,uniform,2,40,0.4758993974580078,0.5207792207792208
143,5,distance,1,40,0.5255773075014514,0.5714285714285714
144,5,distance,2,40,0.5229897467593482,0.5571428571428572
145,5,uniform,1,42,0.4772286426925591,0.525974025974026
146,5,uniform,2,42,0.4758993974580078,0.5207792207792208
147,5,distance,1,42,0.5255773075014514,0.5714285714285714
148,5,distance,2,42,0.5229897467593482,0.5571428571428572
149,5,uniform,1,44,0.4772286426925591,0.525974025974026
150,5,uniform,2,44,0.4758993974580078,0.5207792207792208
151,5,distance,1,44,0.5255773075014514,0.5714285714285714
152,5,distance,2,44,0.5229897467593482,0.5571428571428572
153,5,uniform,1,46,0.4772286426925591,0.525974025974026
154,5,uniform,2,46,0.4758993974580078,0.5207792207792208
155,5,distance,1,46,0.5255773075014514,0.5714285714285714
156,5,distance,2,46,0.5229897467593482,0.5571428571428572
157,5,uniform,1,48,0.4772286426925591,0.525974025974026
158,5,uniform,2,48,0.4758993974580078,0.5207792207792208
159,5,distance,1,48,0.5255773075014514,0.5714285714285714
160,5,distance,2,48,0.5229897467593482,0.5571428571428572
161,7,uniform,1,10,0.466400073312671,0.5155844155844156
162,7,uniform,2,10,0.46552955051136446,0.5142857142857142
163,7,distance,1,10,0.5251268852430802,0.5727272727272728
164,7,distance,2,10,0.5242435024305898,0.5675324675324676
165,7,uniform,1,12,0.466400073312671,0.5155844155844156
166,7,uniform,2,12,0.46552955051136446,0.5142857142857142
167,7,distance,1,12,0.5251268852430802,0.5727272727272728
168,7,distance,2,12,0.5242435024305898,0.5675324675324676
169,7,uniform,1,14,0.466400073312671,0.5155844155844156
170,7,uniform,2,14,0.46552955051136446,0.5142857142857142
171,7,distance,1,14,0.5251268852430802,0.5727272727272728
172,7,distance,2,14,0.5242435024305898,0.5675324675324676
173,7,uniform,1,16,0.46875170365442137,0.512987012987013
174,7,uniform,2,16,0.4661310230520016,0.5103896103896104
175,7,distance,1,16,0.5256769078113636,0.5766233766233766
176,7,distance,2,16,0.5230682150752823,0.5636363636363636
177,7,uniform,1,18,0.46875170365442137,0.512987012987013
178,7,uniform,2,18,0.4661310230520016,0.5103896103896104
179,7,distance,1,18,0.5256769078113636,0.5766233766233766
180,7,distance,2,18,0.5230682150752823,0.5636363636363636
181,7,uniform,1,20,0.46875170365442137,0.512987012987013
182,7,uniform,2,20,0.4661310230520016,0.5103896103896104
183,7,distance,1,20,0.5256769078113636,0.5766233766233766
184,7,distance,2,20,0.5230682150752823,0.5636363636363636
185,7,uniform,1,22,0.46875170365442137,0.512987012987013
186,7,uniform,2,22,0.4661310230520016,0.5103896103896104
187,7,distance,1,22,0.5256769078113636,0.5766233766233766
188,7,distance,2,22,0.5230682150752823,0.5636363636363636
189,7,uniform,1,24,0.46875170365442137,0.512987012987013
190,7,uniform,2,24,0.4661310230520016,0.5103896103896104
191,7,distance,1,24,0.5256769078113636,0.5766233766233766
192,7,distance,2,24,0.5230682150752823,0.5636363636363636
193,7,uniform,1,26,0.46875170365442137,0.512987012987013
194,7,uniform,2,26,0.4661310230520016,0.5103896103896104
195,7,distance,1,26,0.5256769078113636,0.5766233766233766
196,7,distance,2,26,0.5230682150752823,0.5636363636363636
197,7,uniform,1,28,0.46875170365442137,0.512987012987013
198,7,uniform,2,28,0.4661310230520016,0.5103896103896104
199,7,distance,1,28,0.5256769078113636,0.5766233766233766
200,7,distance,2,28,0.5230682150752823,0.5636363636363636
201,7,uniform,1,30,0.46260825862603605,0.509090909090909
202,7,uniform,2,30,0.4604547382759109,0.5103896103896104
203,7,distance,1,30,0.5265940284794622,0.5688311688311688
204,7,distance,2,30,0.5213922447792058,0.5597402597402598
205,7,uniform,1,32,0.46260825862603605,0.509090909090909
206,7,uniform,2,32,0.4604547382759109,0.5103896103896104
207,7,distance,1,32,0.5265940284794622,0.5688311688311688
208,7,distance,2,32,0.5213922447792058,0.5597402597402598
209,7,uniform,1,34,0.46260825862603605,0.509090909090909
210,7,uniform,2,34,0.4604547382759109,0.5103896103896104
211,7,distance,1,34,0.5265940284794622,0.5688311688311688
212,7,distance,2,34,0.5213922447792058,0.5597402597402598
