acc,index,hidden_layer_size,,max_iter,alpha,solver
0.6709129511677282,1.0,[100, 100],300,0.0001,adam
0.6824034334763949,1.1,[100, 100],300,0.0001,adam
0.670995670995671,1.2,[100, 100],300,0.0001,adam
0.6798245614035088,1.3,[100, 100],300,0.0001,adam
0.722972972972973,1.4,[100, 100],300,0.0001,adam
0.6857749469214437,2.0,[100, 100],300,0.001,adam
0.6845493562231759,2.1,[100, 100],300,0.001,adam
0.6666666666666666,2.2,[100, 100],300,0.001,adam
0.6929824561403509,2.3,[100, 100],300,0.001,adam
0.7319819819819819,2.4,[100, 100],300,0.001,adam
0.6772823779193206,3.0,[100, 100],300,0.01,adam
0.6974248927038627,3.1,[100, 100],300,0.01,adam
0.6688311688311688,3.2,[100, 100],300,0.01,adam
0.6885964912280702,3.3,[100, 100],300,0.01,adam
0.7342342342342343,3.4,[100, 100],300,0.01,adam
0.6709129511677282,4.0,[100, 100],300,0.1,adam
0.6866952789699571,4.1,[100, 100],300,0.1,adam
0.6645021645021645,4.2,[100, 100],300,0.1,adam
0.6864035087719298,4.3,[100, 100],300,0.1,adam
0.722972972972973,4.4,[100, 100],300,0.1,adam
0.6602972399150743,5.0,[100, 100],300,0.2,adam
0.6824034334763949,5.1,[100, 100],300,0.2,adam
0.670995670995671,5.2,[100, 100],300,0.2,adam
0.668859649122807,5.3,[100, 100],300,0.2,adam
0.722972972972973,5.4,[100, 100],300,0.2,adam
0.6666666666666666,6.0,[100, 100],300,0.5,adam
0.6824034334763949,6.1,[100, 100],300,0.5,adam
0.6623376623376623,6.2,[100, 100],300,0.5,adam
0.6754385964912281,6.3,[100, 100],300,0.5,adam
0.7207207207207207,6.4,[100, 100],300,0.5,adam
0.6709129511677282,7.0,[100, 150],300,0.0001,adam
0.6888412017167382,7.1,[100, 150],300,0.0001,adam
0.6515151515151515,7.2,[100, 150],300,0.0001,adam
0.6842105263157895,7.3,[100, 150],300,0.0001,adam
0.722972972972973,7.4,[100, 150],300,0.0001,adam
0.6772823779193206,8.0,[100, 150],300,0.001,adam
0.6888412017167382,8.1,[100, 150],300,0.001,adam
0.670995670995671,8.2,[100, 150],300,0.001,adam
0.6776315789473685,8.3,[100, 150],300,0.001,adam
0.7184684684684685,8.4,[100, 150],300,0.001,adam
0.6836518046709129,9.0,[100, 150],300,0.01,adam
0.6909871244635193,9.1,[100, 150],300,0.01,adam
0.6731601731601732,9.2,[100, 150],300,0.01,adam
0.6842105263157895,9.3,[100, 150],300,0.01,adam
0.7342342342342343,9.4,[100, 150],300,0.01,adam
0.6709129511677282,10.0,[100, 150],300,0.1,adam
0.6845493562231759,10.1,[100, 150],300,0.1,adam
0.670995670995671,10.2,[100, 150],300,0.1,adam
0.6754385964912281,10.3,[100, 150],300,0.1,adam
0.7319819819819819,10.4,[100, 150],300,0.1,adam
0.6772823779193206,11.0,[100, 150],300,0.2,adam
0.6781115879828327,11.1,[100, 150],300,0.2,adam
0.6731601731601732,11.2,[100, 150],300,0.2,adam
0.668859649122807,11.3,[100, 150],300,0.2,adam
0.7162162162162162,11.4,[100, 150],300,0.2,adam
0.6709129511677282,12.0,[100, 150],300,0.5,adam
0.6802575107296137,12.1,[100, 150],300,0.5,adam
0.6774891774891775,12.2,[100, 150],300,0.5,adam
0.6798245614035088,12.3,[100, 150],300,0.5,adam
0.7207207207207207,12.4,[100, 150],300,0.5,adam
0.6815286624203821,13.0,[100, 200],300,0.0001,adam
0.6952789699570815,13.1,[100, 200],300,0.0001,adam
0.6666666666666666,13.2,[100, 200],300,0.0001,adam
0.6798245614035088,13.3,[100, 200],300,0.0001,adam
0.704954954954955,13.4,[100, 200],300,0.0001,adam
0.6687898089171974,14.0,[100, 200],300,0.001,adam
0.6738197424892703,14.1,[100, 200],300,0.001,adam
0.6753246753246753,14.2,[100, 200],300,0.001,adam
0.6885964912280702,14.3,[100, 200],300,0.001,adam
0.7319819819819819,14.4,[100, 200],300,0.001,adam
0.6709129511677282,15.0,[100, 200],300,0.01,adam
0.6931330472103004,15.1,[100, 200],300,0.01,adam
0.6731601731601732,15.2,[100, 200],300,0.01,adam
0.6885964912280702,15.3,[100, 200],300,0.01,adam
0.722972972972973,15.4,[100, 200],300,0.01,adam
0.6687898089171974,16.0,[100, 200],300,0.1,adam
0.6845493562231759,16.1,[100, 200],300,0.1,adam
0.6731601731601732,16.2,[100, 200],300,0.1,adam
0.6776315789473685,16.3,[100, 200],300,0.1,adam
0.7297297297297297,16.4,[100, 200],300,0.1,adam
0.6751592356687898,17.0,[100, 200],300,0.2,adam
0.6866952789699571,17.1,[100, 200],300,0.2,adam
0.6731601731601732,17.2,[100, 200],300,0.2,adam
0.6776315789473685,17.3,[100, 200],300,0.2,adam
0.722972972972973,17.4,[100, 200],300,0.2,adam
0.6751592356687898,18.0,[100, 200],300,0.5,adam
0.6845493562231759,18.1,[100, 200],300,0.5,adam
0.6688311688311688,18.2,[100, 200],300,0.5,adam
0.6798245614035088,18.3,[100, 200],300,0.5,adam
0.7117117117117117,18.4,[100, 200],300,0.5,adam
0.6772823779193206,19.0,[150, 100],300,0.0001,adam
0.6974248927038627,19.1,[150, 100],300,0.0001,adam
0.670995670995671,19.2,[150, 100],300,0.0001,adam
0.6842105263157895,19.3,[150, 100],300,0.0001,adam
